Model,K,Val_F1,Val_AUC,Val_Accuracy,Val_Precision,Val_Recall,Test_F1,Test_AUC,Test_Accuracy,Test_Precision,Test_Recall,Training_Time_s,Total_Time_s,Architecture,Sampling
Standard GCN,1,0.0000,0.6821,0.9280,0.0000,0.0000,0.0000,0.5493,0.9199,0.0000,0.0000,210.4,227.5,GCN,No
Standard GCN,3,0.1592,0.6892,0.9248,0.4082,0.0989,0.0879,0.5512,0.9070,0.2050,0.0559,1172.8,1191.3,GCN,No
Standard GCN,5,0.0000,0.6829,0.9280,0.0000,0.0000,0.0000,0.5482,0.9199,0.0000,0.0000,250.4,270.9,GCN,No
Standard GCN,7,0.2404,0.6968,0.9156,0.3417,0.1854,0.1307,0.5509,0.8909,0.1806,0.1024,268.6,291.4,GCN,No
"GCN + Sampling [25, 10]",1,0.0025,0.6050,0.9280,1.0000,0.0012,0.0021,0.5248,0.9189,0.0741,0.0011,44.4,52.7,GCN,Yes
"GCN + Sampling [25, 10]",3,0.0363,0.6821,0.9290,0.8333,0.0185,0.0204,0.5491,0.9206,0.8837,0.0103,862.8,1104.0,GCN,Yes
"GCN + Sampling [25, 10]",5,0.0000,0.6089,0.9280,0.0000,0.0000,0.0000,0.5255,0.9199,0.0000,0.0000,61.0,70.7,GCN,Yes
"GCN + Sampling [25, 10]",7,0.1363,0.6903,0.9266,0.4483,0.0803,0.0692,0.5463,0.9098,0.2000,0.0418,63.0,72.7,GCN,Yes
GraphSAGE,1,0.3017,0.7672,0.9036,0.3154,0.2892,0.5767,0.8605,0.9231,0.5157,0.6540,245.6,263.3,SAGE,No
GraphSAGE,3,0.2964,0.6059,0.8981,0.2950,0.2979,0.5546,0.8313,0.9164,0.4839,0.6494,262.8,281.6,SAGE,No
GraphSAGE,5,0.3011,0.7918,0.8983,0.2982,0.3041,0.5567,0.8700,0.9160,0.4822,0.6583,281.4,299.4,SAGE,No
GraphSAGE,7,0.3111,0.7764,0.9014,0.3133,0.3090,0.5611,0.8762,0.9157,0.4814,0.6725,310.7,331.3,SAGE,No
"GraphSAGE + Sampling [25, 10]",1,0.2989,0.7592,0.8972,0.2939,0.3041,0.5454,0.8683,0.9123,0.4664,0.6564,49.9,57.9,SAGE,Yes
"GraphSAGE + Sampling [25, 10]",3,0.3179,0.7394,0.9071,0.3375,0.3004,0.5725,0.8644,0.9205,0.5028,0.6646,53.5,62.2,SAGE,Yes
"GraphSAGE + Sampling [25, 10]",5,0.2991,0.7326,0.8936,0.2846,0.3152,0.5228,0.8552,0.9054,0.4387,0.6467,59.7,69.3,SAGE,Yes
"GraphSAGE + Sampling [25, 10]",7,0.3042,0.8233,0.8957,0.2929,0.3164,0.5496,0.8721,0.9117,0.4648,0.6722,64.7,74.5,SAGE,Yes
